document_type;account1;account2;account3;MD;D
ofa;311;604;0;311;604
ofa;604;311;0;311;604
bv;221;311;0;221;311
bv;311;221;0;221;311
dfa;321;221;0;321;221
dfa;221;321;0;321;221
dfa;501;343;321;501343;321
dfa;501;321;343;501343;321
dfa;343;501;321;501343;321
dfa;343;321;501;501343;321
dfa;321;343;501;501343;321
dfa;321;501;343;501343;321
ofa;311;601;0;311;601
ofa;601;311;0;311;601
dfa;502;343;321;502343;321
dfa;502;321;343;502343;321
dfa;321;502;343;502343;321
dfa;321;343;502;502343;321
dfa;343;321;502;502343;321
dfa;343;502;321;502343;321
ofa;311;343;602;311;602343
ofa;311;602;343;311;602343
ofa;602;311;343;311;602343
ofa;602;343;311;311;602343
ofa;343;602;311;311;602343
ofa;343;311;602;311;602343
ppd;604;343;211;211;604343
ppd;604;211;343;211;604343
ppd;211;604;343;211;604343
ppd;211;343;604;211;604343
ppd;343;211;604;211;604343
ppd;343;604;211;211;604343
ofa;311;602;0;311;602
ofa;602;311;0;311;602
dfa;518;343;321;518343;321
dfa;518;321;343;518343;321
dfa;321;518;343;518343;321
dfa;321;343;518;518343;321
dfa;343;321;518;518343;321
dfa;343;518;321;518343;321
dfa;042;321;343;042343;321
dfa;042;343;321;042343;321
dfa;343;042;321;042343;321
dfa;343;321;042;042343;321
dfa;321;343;042;042343;321
dfa;321;042;343;042343;321
bv;321;221;0;321;221
bv;221;321;0;321;221
vpd;321;211;0;321;211
vpd;211;321;0;321;211
ofa;601;343;311;311;601343
ofa;601;311;343;311;601343
ofa;311;601;343;311;601343
ofa;311;343;601;311;601343
ofa;343;311;601;311;601343
ofa;343;601;311;311;601343
dfa;042;321;0;042;321
dfa;321;42;0;042;321
dfa;041;321;343;041343;321
dfa;041;343;321;041343;321
dfa;343;041;321;041343;321
dfa;343;321;041;041343;321
dfa;321;343;041;041343;321
dfa;321;041;343;041343;321
ofa;311;648;0;311;648
ofa;648;311;0;311;648
ppd;642;311;0;311;642
ppd;311;642;0;311;642
ofa;642;311;0;311;642
ofa;311;642;0;311;642
ofa;311;641;0;311;641
ofa;641;311;0;311;641
vpd;513;211;0;513;211
vpd;211;513;0;513;211
dfa;513;321;0;513;321
dfa;321;513;0;513;321
vpd;518;343;211;518343;211
vpd;518;211;343;518343;211
vpd;211;518;343;518343;211
vpd;211;343;518;518343;211
vpd;518;343;211;518343;211
vpd;518;211;343;518343;211
ppd;602;211;0;211;602
ppd;211;602;0;211;602
ppd;604;211;0;211;604
ppd;211;604;0;211;604
ppd;641;211;0;211;641
ppd;211;641;0;211;641
vpd;511;211;0;511;211
vpd;211;511;0;511;211
dfa;511;343;321;511343;321
dfa;511;321;343;511343;321
dfa;321;511;343;511343;321
dfa;321;343;511;511343;321
dfa;343;321;511;511343;321
dfa;343;511;321;511343;321
vpd;511;211;343;511343;211
vpd;511;343;211;511343;211
vpd;343;511;211;511343;211
vpd;343;211;511;511343;211
vpd;211;343;511;511343;211
vpd;211;511;343;511343;211
ppd;602;211;343;211;602343
ppd;602;343;211;211;602343
ppd;343;602;211;211;602343
ppd;343;211;602;211;602343
ppd;211;343;602;211;602343
ppd;211;602;343;211;602343
ppd;604;211;343;211;604343
ppd;604;343;211;211;604343
ppd;343;604;211;211;604343
ppd;343;211;604;211;604343
ppd;211;343;604;211;604343
ppd;211;604;343;211;604343
ppd;641;211;343;211;641343
ppd;641;343;211;211;641343
ppd;343;641;211;211;641343
ppd;343;211;641;211;641343
ppd;211;343;641;211;641343
ppd;211;641;343;211;641343
vpd;518;343;211;518343;211
vpd;518;211;343;518343;211
vpd;211;518;343;518343;211
vpd;211;343;518;518343;211
vpd;343;211;518;518343;211
vpd;343;518;211;518343;211
vpd;504;343;211;504343;211
vpd;504;211;343;504343;211
vpd;211;504;343;504343;211
vpd;211;343;504;504343;211
vpd;343;211;504;504343;211
vpd;343;504;211;504343;211
ofa;642;311;343;311;343642
ofa;642;343;311;311;343642
ofa;343;642;311;311;343642
ofa;343;311;642;311;343642
ofa;311;343;642;311;343642
ofa;311;642;343;311;343642
ppd;642;311;343;311;343642
ppd;642;343;311;311;343642
ppd;343;642;311;311;343642
ppd;343;311;642;311;343642
ppd;311;343;642;311;343642
ppd;311;642;343;311;343642
ofa;641;311;343;311;641343
ofa;641;343;311;311;641343
ofa;343;641;311;311;641343
ofa;343;311;641;311;641343
ofa;311;343;641;311;641343
ofa;311;641;343;311;641343
ofa;604;311;343;311;604343
ofa;604;343;311;311;604343
ofa;343;604;311;311;604343
ofa;343;311;604;311;604343
ofa;311;343;604;311;604343
ofa;311;604;343;311;604343
dfa;504;343;321;504343;321
dfa;504;321;343;504343;321
dfa;321;504;343;504343;321
dfa;321;343;504;504343;321
dfa;343;321;504;504343;321
dfa;343;504;321;504343;321
vpd;501;343;211;501343;211
vpd;501;211;343;501343;211
vpd;211;501;343;501343;211
vpd;211;343;501;501343;211
vpd;343;211;501;501343;211
vpd;343;501;211;501343;211
dfa;213;321;0;213;321
dfa;321;213;0;213;321
bv;321;221;0;321;221
bv;221;321;0;321;221
dfa;321;221;0;321;221
dfa;221;321;0;321;221
ofa;221;311;0;221;311
ofa;311;221;0;221;311
bv;221;311;0;221;311
bv;311;221;0;221;311
dfa;042;321;343;042343;321
dfa;042;343;321;042343;321
dfa;343;042;321;042343;321
dfa;343;321;042;042343;321
dfa;321;343;042;042343;321
dfa;321;042;343;042343;321